index,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,disclosure_date,date,cost
737,08/21/2020,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,09/01/2020,2020-08-21,15000.0
739,08/21/2020,Spouse,TCEHY,Tencent Holdings Limited,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,09/01/2020,2020-08-21,15000.0
740,08/21/2020,Spouse,ARE,"Alexandria Real Estate Equities, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,09/01/2020,2020-08-21,15000.0
741,08/21/2020,Spouse,CONE,CyrusOne Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,09/01/2020,2020-08-21,15000.0
744,08/06/2020,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,09/01/2020,2020-08-06,15000.0
804,12/05/2019,Spouse,LGI,"LOR Lazard World Dividend and Income Fund (Exchanged) <br> Lazard Global Total Return and Income Fund, Inc. (Received)",Stock,Exchange,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1fddad5d-761e-48ac-8289-a7d72735d85f/,08/13/2020,2019-12-05,15000.0
805,02/27/2019,Spouse,WW,"WW International, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1fddad5d-761e-48ac-8289-a7d72735d85f/,08/13/2020,2019-02-27,15000.0
856,07/09/2020,Spouse,C,Citigroup Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
857,07/09/2020,Spouse,QCOM,QUALCOMM Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
858,07/09/2020,Spouse,RMD,ResMed Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
859,07/09/2020,Spouse,OHI,"Omega Healthcare Investors, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
860,07/09/2020,Spouse,ARCC,Ares Capital Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
861,07/09/2020,Spouse,LMT,Lockheed Martin Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
862,07/09/2020,Spouse,WIW,Western Asset Inflation-Linked Opportunities &amp; Inc,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
864,07/09/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
865,07/09/2020,Spouse,AXS,AXIS Capital Holdings Limited,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
866,07/09/2020,Spouse,MPW,"Medical Properties Trust, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
867,07/09/2020,Spouse,GLAD,Gladstone Capital Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
868,07/09/2020,Spouse,MANT,ManTech International Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
869,07/09/2020,Spouse,SWKS,"Skyworks Solutions, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
870,07/09/2020,Spouse,HASI,Hannon Armstrong Sustainable Infrastructure Capita,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/5345c140-beaa-43fa-af51-d269c1ef9eff/,08/04/2020,2020-07-09,15000.0
